PID,SENSOR_ID,SENSOR_PLACEMENT
SPADES_8,TAS1E23150075,dominant hip
SPADES_8,TAS1E23150084,dominant thigh
SPADES_8,TAS1E23150152,dominant ankle
SPADES_8,TAS1E23150179,dominant wrist
SPADES_8,TAS1E23150108,non dominant hip
SPADES_8,TAS1E23150066,non dominant wrist
SPADES_9,TAS1E23150152,dominant ankle
SPADES_9,TAS1E23150075,dominant hip
SPADES_9,TAS1E23150084,dominant thigh
SPADES_9,TAS1E23150179,dominant wrist
SPADES_9,TAS1E23150162,non dominant ankle
SPADES_9,TAS1E23150108,non dominant hip
SPADES_9,TAS1E23150066,non dominant wrist
SPADES_10,TAS1E23150152,dominant ankle
SPADES_10,TAS1E23150075,dominant hip
SPADES_10,TAS1E23150084,dominant thigh
SPADES_10,TAS1E23150179,dominant wrist
SPADES_10,TAS1E23150162,non dominant ankle
SPADES_10,TAS1E23150108,non dominant hip
SPADES_10,TAS1E23150066,non dominant wrist
SPADES_11,TAS1E23150084,non dominant ankle
SPADES_11,TAS1E23150108,non dominant hip
SPADES_11,TAS1E23150179,dominant thigh
SPADES_11,TAS1E23150075,non dominant wrist
SPADES_11,TAS1E23150152,dominant ankle
SPADES_11,TAS1E23150175,dominant hip
SPADES_11,TAS1E23150854,dominant wrist
SPADES_12,TAS1E23150084,dominant ankle
SPADES_12,TAS1E23150108,dominant hip
SPADES_12,TAS1E23150139,dominant thigh
SPADES_12,TAS1E23150075,dominant wrist
SPADES_12,TAS1E23150085,non dominant ankle
SPADES_12,TAS1E23150180,non dominant hip
SPADES_12,TAS1E23150167,non dominant wrist
SPADES_13,TAS1E23150084,dominant ankle
SPADES_13,TAS1E23150108,dominant hip
SPADES_13,TAS1E23150139,dominant thigh
SPADES_13,TAS1E23150075,dominant wrist
SPADES_13,TAS1E23150085,non dominant ankle
SPADES_13,TAS1E23150180,non dominant hip
SPADES_13,TAS1E23150167,non dominant wrist
SPADES_14,TAS1E23150075,dominant ankle
SPADES_14,TAS1E23150108,dominant hip
SPADES_14,TAS1E23150136,dominant thigh
SPADES_14,TAS1E23150866,dominant wrist
SPADES_14,TAS1E23150854,non dominant ankle
SPADES_14,TAS1E23150875,non dominant hip
SPADES_14,TAS1E23150881,non dominant wrist
SPADES_15,TAS1E23150066,dominant ankle
SPADES_15,TAS1E23150152,dominant hip
SPADES_15,TAS1E23150163,dominant thigh
SPADES_15,TAS1E23150075,dominant wrist
SPADES_15,TAS1E23150136,non dominant ankle
SPADES_15,TAS1E23150179,non dominant hip
SPADES_15,TAS1E23150108,non dominant wrist
SPADES_16,TAS1E23150066,dominant ankle
SPADES_16,TAS1E23150152,dominant hip
SPADES_16,TAS1E23150163,dominant thigh
SPADES_16,TAS1E23150075,dominant wrist
SPADES_16,TAS1E23150136,non dominant ankle
SPADES_16,TAS1E23150179,non dominant hip
SPADES_16,TAS1E23150108,non dominant wrist
SPADES_17,TAS1E23150066,dominant ankle
SPADES_17,TAS1E23150152,dominant hip
SPADES_17,TAS1E23150163,dominant thigh
SPADES_17,TAS1E23150075,dominant wrist
SPADES_17,TAS1E23150136,non dominant ankle
SPADES_17,TAS1E23150179,non dominant hip
SPADES_17,TAS1E23150108,non dominant wrist
SPADES_18,TAS1E23150866,dominant ankle
SPADES_18,TAS1E23150180,dominant hip
SPADES_18,TAS1E23150084,dominant thigh
SPADES_18,TAS1E23150875,dominant wrist
SPADES_18,TAS1E23150854,non dominant ankle
SPADES_18,TAS1E23150128,non dominant hip
SPADES_18,TAS1E23150881,non dominant wrist
SPADES_19,TAS1E23150152,non dominant wrist
SPADES_19,TAS1E23150180,dominant wrist
SPADES_19,TAS1E23150084,dominant hip
SPADES_19,TAS1E23150136,non dominant hip
SPADES_19,TAS1E23150163,dominant thigh
SPADES_19,TAS1E23150168,non dominant ankle
SPADES_19,TAS1E23150167,dominant ankle
SPADES_20,TAS1E23150168,non dominant wrist
SPADES_20,TAS1E23150084,dominant wrist
SPADES_20,TAS1E23150179,non dominant hip
SPADES_20,TAS1E23150136,dominant hip
SPADES_20,TAS1E23150163,dominant thigh
SPADES_20,TAS1E23150075,non dominant ankle
SPADES_20,TAS1E23150167,dominant ankle
SPADES_21,TAS1E23150066,non dominant wrist
SPADES_21,TAS1E23150075,dominant wrist
SPADES_21,TAS1E23150085,non dominant hip
SPADES_21,TAS1E23150108,dominant hip
SPADES_21,TAS1E23150167,dominant thigh
SPADES_21,TAS1E23150152,non dominant ankle
SPADES_21,TAS1E23150163,dominant ankle
SPADES_22,TAS1E23150075,non dominant wrist
SPADES_22,TAS1E23150108,dominant wrist
SPADES_22,TAS1E23150066,non dominant hip
SPADES_22,TAS1E23150163,dominant hip
SPADES_22,TAS1E23150854,dominant thigh
SPADES_22,TAS1E23150085,non dominant ankle
SPADES_22,TAS1E23150152,dominant ankle
SPADES_23,TAS1E23150084,non dominant wrist
SPADES_23,TAS1E23150162,dominant wrist
SPADES_23,TAS1E23150167,non dominant hip
SPADES_23,TAS1E23150168,dominant hip
SPADES_23,TAS1E23150854,dominant thigh
SPADES_23,TAS1E23150866,dominant ankle
SPADES_23,TAS1E23150881,non dominant ankle
SPADES_24,TAS1E23150084,non dominant wrist
SPADES_24,TAS1E23150162,dominant wrist
SPADES_24,TAS1E23150167,non dominant hip
SPADES_24,TAS1E23150168,dominant hip
SPADES_24,TAS1E23150854,dominant thigh
SPADES_24,TAS1E23150866,non dominant ankle
SPADES_24,TAS1E23150881,dominant ankle
SPADES_25,TAS1E23150084,non dominant wrist
SPADES_25,TAS1E23150162,dominant wrist
SPADES_25,TAS1E23150167,non dominant hip
SPADES_25,TAS1E23150168,dominant hip
SPADES_25,TAS1E23150108,dominant thigh
SPADES_25,TAS1E23150866,non dominant ankle
SPADES_25,TAS1E23150881,dominant ankle
SPADES_26,TAS1E23150075,non dominant wrist
SPADES_26,TAS1E23150179,dominant wrist
SPADES_26,TAS1E23150136,non dominant hip
SPADES_26,TAS1E23150085,dominant hip
SPADES_26,TAS1E23150854,dominant thigh
SPADES_26,TAS1E23150180,non dominant ankle
SPADES_26,TAS1E23150141,dominant ankle
SPADES_27,TAS1E23150881,non dominant wrist
SPADES_27,TAS1E23150108,dominant wrist
SPADES_27,TAS1E23150179,non dominant hip
SPADES_27,TAS1E23150066,dominant hip
SPADES_27,TAS1E23150152,dominant thigh
SPADES_27,TAS1E23150139,non dominant ankle
SPADES_27,TAS1E23150141,dominant ankle
SPADES_28,TAS1E23150881,non dominant wrist
SPADES_28,TAS1E23150108,dominant wrist
SPADES_28,TAS1E23150179,non dominant hip
SPADES_28,TAS1E23150136,dominant hip
SPADES_28,TAS1E23150180,dominant thigh
SPADES_28,TAS1E23150168,non dominant ankle
SPADES_28,TAS1E23150866,dominant ankle
SPADES_29,TAS1E23150084,non dominant wrist
SPADES_29,TAS1E23150126,dominant wrist
SPADES_29,TAS1E23150066,non dominant hip
SPADES_29,TAS1E23150179,dominant hip
SPADES_29,TAS1E23150128,dominant thigh
SPADES_29,TAS1E23150167,non dominant ankle
SPADES_29,TAS1E23150162,dominant ankle
SPADES_30,TAS1E23150854,non dominant wrist
SPADES_30,TAS1E23150167,dominant wrist
SPADES_30,TAS1E23150066,non dominant hip
SPADES_30,TAS1E23150179,dominant hip
SPADES_30,TAS1E23150128,dominant thigh
SPADES_30,TAS1E23150139,dominant ankle
SPADES_30,TAS1E23150162,non dominant ankle
SPADES_31,TAS1E23150075,non dominant wrist
SPADES_31,TAS1E23150136,dominant wrist
SPADES_31,TAS1E23150168,non dominant hip
SPADES_31,TAS1E23150180,dominant hip
SPADES_31,TAS1E23150167,dominant thigh
SPADES_31,TAS1E23150126,non dominant ankle
SPADES_31,TAS1E23150152,dominant ankle
SPADES_32,TAS1E23150168,non dominant wrist
SPADES_32,TAS1E23150136,dominant wrist
SPADES_32,TAS1E23150180,non dominant hip
SPADES_32,TAS1E23150179,dominant hip
SPADES_32,TAS1E23150128,dominant thigh
SPADES_32,TAS1E23150139,non dominant ankle
SPADES_33,TAS1E23150066,non dominant wrist
SPADES_33,TAS1E23150126,dominant wrist
SPADES_33,TAS1E23150136,non dominant hip
SPADES_33,TAS1E23150167,dominant hip
SPADES_33,TAS1E23150141,dominant thigh
SPADES_33,TAS1E23150179,non dominant ankle
SPADES_33,TAS1E23150180,dominant ankle
SPADES_34,TAS1E23150066,non dominant wrist
SPADES_34,TAS1E23150126,dominant wrist
SPADES_34,TAS1E23150136,non dominant hip
SPADES_34,TAS1E23150141,dominant hip
SPADES_34,TAS1E23150108,dominant thigh
SPADES_34,TAS1E23150075,non dominant ankle
SPADES_34,TAS1E23150180,dominant ankle
SPADES_35,TAS1E23150085,non dominant wrist
SPADES_35,TAS1E23150139,dominant wrist
SPADES_35,TAS1E23150152,non dominant hip
SPADES_35,TAS1E23150167,dominant hip
SPADES_35,TAS1E23150162,dominant thigh
SPADES_35,TAS1E23150179,non dominant ankle
SPADES_35,TAS1E23150084,dominant ankle
SPADES_36,TAS1E23150085,non dominant wrist
SPADES_36,TAS1E23150139,dominant wrist
SPADES_36,TAS1E23150152,non dominant hip
SPADES_36,TAS1E23150167,dominant hip
SPADES_36,TAS1E23150162,dominant thigh
SPADES_36,TAS1E23150179,non dominant ankle
SPADES_36,TAS1E23150084,dominant ankle
SPADES_37,TAS1E23150126,non dominant wrist
SPADES_37,TAS1E23150128,dominant wrist
SPADES_37,TAS1E23150136,non dominant hip
SPADES_37,TAS1E23150066,dominant hip
SPADES_37,TAS1E23150167,dominant thigh
SPADES_37,TAS1E23150084,non dominant ankle
SPADES_37,TAS1E23150139,dominant ankle
SPADES_38,TAS1E23150075,non dominant wrist
SPADES_38,TAS1E23150162,dominant wrist
SPADES_38,TAS1E23150168,non dominant hip
SPADES_38,TAS1E35150166,dominant hip
SPADES_38,TAS1E23150167,dominant thigh
SPADES_38,TAS1E23150108,non dominant ankle
SPADES_38,TAS1E23150126,dominant ankle
SPADES_39,TAS1E23150085,non dominant wrist
SPADES_39,TAS1E23150136,dominant wrist
SPADES_39,TAS1E23150167,non dominant hip
SPADES_39,TAS1E23150108,dominant hip
SPADES_39,TAS1E23150854,dominant thigh
SPADES_39,TAS1E23150179,non dominant ankle
SPADES_39,TAS1E23150875,dominant ankle
SPADES_40,TAS1E23150075,dominant wrist
SPADES_40,TAS1E23150136,non dominant wrist
SPADES_40,TAS1E23150167,non dominant hip
SPADES_40,TAS1E23150108,dominant hip
SPADES_40,TAS1E23150180,dominant thigh
SPADES_40,TAS1E23150085,non dominant ankle
SPADES_40,TAS1E23150875,dominant ankle
SPADES_41,TAS1E23150075,non dominant wrist
SPADES_41,TAS1E23150136,dominant wrist
SPADES_41,TAS1E23150167,non dominant hip
SPADES_41,TAS1E23150108,dominant hip
SPADES_41,TAS1E23150180,dominant thigh
SPADES_41,TAS1E23150085,non dominant ankle
SPADES_41,TAS1E23150875,dominant ankle
SPADES_42,TAS1E23150179,non dominant wrist
SPADES_42,TAS1E23150854,dominant wrist
SPADES_42,TAS1E23150168,non dominant hip
SPADES_42,TAS1E23150152,dominant hip
SPADES_42,TAS1E23150066,dominant thigh
SPADES_42,TAS1E23150085,non dominant ankle
SPADES_42,TAS1E23150875,dominant ankle
SPADES_43,TAS1E23150180,non dominant wrist
SPADES_43,TAS1E23150167,dominant wrist
SPADES_43,TAS1E23150075,non dominant hip
SPADES_43,TAS1E23150136,dominant hip
SPADES_43,TAS1E23150126,dominant thigh
SPADES_43,TAS1E23150108,non dominant ankle
SPADES_43,TAS1E35150166,dominant ankle
SPADES_44,TAS1E23150136,non dominant wrist
SPADES_44,TAS1E23150180,dominant wrist
SPADES_44,TAS1E23150179,non dominant hip
SPADES_44,TAS1E23150152,dominant hip
SPADES_44,TAS1E23150108,dominant thigh
SPADES_44,TAS1E23150162,non dominant ankle
SPADES_44,TAS1E23150881,dominant ankle
SPADES_45,TAS1E23150136,non dominant wrist
SPADES_45,TAS1E23150180,dominant wrist
SPADES_45,TAS1E23150167,non dominant hip
SPADES_45,TAS1E23150126,dominant hip
SPADES_45,TAS1E23150162,non dominant ankle
SPADES_45,TAS1E35150166,dominant ankle
SPADES_46,TAS1E23150126,non dominant wrist
SPADES_46,TAS1E23150066,dominant wrist
SPADES_46,TAS1E23150167,non dominant hip
SPADES_46,TAS1E23150108,dominant hip
SPADES_46,TAS1E23150854,dominant thigh
SPADES_46,TAS1E23150875,dominant ankle
SPADES_46,TAS1E23150168,non dominant ankle
SPADES_47,TAS1E23150084,dominant wrist
SPADES_47,TAS1E23150139,non dominant wrist
SPADES_47,TAS1E35150166,dominant hip
SPADES_47,TAS1E23150108,non dominant hip
SPADES_47,TAS1E23150075,dominant thigh
SPADES_47,TAS1E23150085,non dominant ankle
SPADES_47,TAS1E23150167,dominant ankle
SPADES_48,TAS1E23150084,non dominant wrist
SPADES_48,TAS1E23150139,dominant wrist
SPADES_48,TAS1E35150166,non dominant hip
SPADES_48,TAS1E23150075,dominant thigh
SPADES_48,TAS1E23150108,dominant hip
SPADES_48,TAS1E23150085,non dominant ankle
SPADES_48,TAS1E23150167,dominant ankle
SPADES_49,TAS1E23150084,non dominant wrist
SPADES_49,TAS1E23150139,dominant wrist
SPADES_49,TAS1E35150166,non dominant hip
SPADES_49,TAS1E23150141,dominant hip
SPADES_49,TAS1E23150075,dominant thigh
SPADES_49,TAS1E23150108,non dominant ankle
SPADES_49,TAS1E23150167,dominant ankle
SPADES_50,TAS1E23150180,non dominant wrist
SPADES_50,TAS1E23150854,dominant wrist
SPADES_50,TAS1E23150084,non dominant hip
SPADES_50,TAS1E35150166,dominant hip
SPADES_50,TAS1E23150866,dominant thigh
SPADES_50,TAS1E23150139,non dominant ankle
SPADES_50,TAS1E23150168,dominant ankle
SPADES_51,TAS1E23150179,non dominant wrist
SPADES_51,TAS1E23150180,dominant wrist
SPADES_51,TAS1E23150854,dominant hip
SPADES_51,TAS1E23150167,non dominant hip
SPADES_51,TAS1E23150168,dominant thigh
SPADES_51,TAS1E23150139,non dominant ankle
SPADES_51,TAS1E23150152,dominant ankle
